# estimated x; estimated y; actual x; actual y; error distance (1 decimal)
1.5;8.5;2.02;7.45;1.1717081547894082
1.5;7.0;2.49;7.6;1.1576268828944842
6.5;9.5;2.49;7.6;4.437352814460441
1.5;10.0;2.49;7.6;2.5961702563583926
1.5;10.0;2.49;7.6;2.5961702563583926
2.0;6.5;2.49;7.6;1.2042009799032716
1.0;5.5;1.52;9.32;3.8552302136188965
1.5;7.5;1.52;9.32;1.8201098867925534
6.5;9.0;1.52;9.32;4.990270533748647
3.0;4.0;1.52;9.32;5.522028612747312
1.5;8.5;1.52;9.32;0.8202438661763953
21.0;5.0;0.78;10.94;21.07443949432582
5.5;6.0;0.78;10.94;6.832422703551061
20.0;6.5;0.78;10.94;19.726175503629687
1.0;5.0;0.78;10.94;5.94407267788677
1.0;5.0;0.78;10.94;5.94407267788677
5.0;7.0;1.39;6.61;3.6310053704174
6.5;6.0;1.39;6.61;5.1462802100157745
1.5;6.5;1.39;6.61;0.15556349186104076
1.5;7.0;1.39;6.61;0.40521599178709594
5.0;7.0;1.39;6.61;3.6310053704174
7.0;9.0;4.51;7.63;2.8420063335608527
9.0;7.0;4.51;7.63;4.533982796614914
5.5;6.5;4.51;7.63;1.5023315213360866
9.0;6.5;4.51;7.63;4.630010799123475
10.5;6.5;4.51;7.63;6.095654189666602
9.0;7.0;6.0;7.88;3.126403684747061
8.5;5.5;6.0;7.88;3.4517242068276546
9.5;7.0;6.0;7.88;3.6089333604265956
6.5;8.0;6.0;7.88;0.5141984052872977
11.0;7.0;6.0;7.88;5.0768494167150555
12.0;5.0;9.08;7.24;3.68021738488367
9.5;7.0;9.08;7.24;0.483735464897913
7.5;7.5;9.08;7.24;1.6012495120998476
10.5;4.5;9.08;7.24;3.086097859757529
9.5;5.5;9.08;7.24;1.789972066821156
10.5;5.5;10.62;3.87;1.6344112089679266
8.0;6.0;10.62;3.87;3.37658111112409
11.0;6.0;10.62;3.87;2.163631207022121
11.0;5.5;10.62;3.87;1.6737084572887837
9.5;6.0;10.62;3.87;2.406511998723463
12.0;5.0;10.99;7.19;2.4116799124261914
13.0;6.5;10.99;7.19;2.1251352898109803
8.5;5.5;10.99;7.19;3.0093520897362613
8.0;7.0;10.99;7.19;2.996030707452779
13.0;7.5;10.99;7.19;2.033764981505975
9.0;5.0;11.76;7.76;3.903229432149742
9.5;7.0;11.76;7.76;2.3843657437566073
9.5;6.5;11.76;7.76;2.5875084540924687
7.0;5.5;11.76;7.76;5.269269399072322
9.5;6.5;11.76;7.76;2.5875084540924687
10.0;5.5;11.39;5.0;1.4771932845772084
10.5;6.0;11.39;5.0;1.338693392827499
12.0;4.0;11.39;5.0;1.171366723105962
13.0;3.5;11.39;5.0;2.200477220968215
10.5;5.0;11.39;5.0;0.8900000000000006
9.5;7.0;12.95;5.25;3.868462226776939
8.0;5.5;12.95;5.25;4.956309110618505
9.0;7.0;12.95;5.25;4.320300915445589
9.5;5.5;12.95;5.25;3.459046111285595
7.0;8.5;12.95;5.25;6.779749257900324
12.5;7.0;13.46;7.85;1.282224629306426
10.0;5.0;13.46;7.85;4.482644308887334
1.0;1.75;13.46;7.85;13.873053016549747
11.5;5.0;13.46;7.85;3.458916015170071
11.5;6.5;13.46;7.85;2.3799369739554033
13.0;5.0;14.98;7.55;3.2284516412670645
